pollster,fieldwork_end,labour,conservative,reform,libdem,green,leader_net,source_url
YouGov,2025-06-18,23.0,17.0,27.0,15.0,11.0,,https://ygo-assets-websites-editorial-emea.yougov.net/documents/VotingIntention_MRP_Merge_June2025_w.pdf
YouGov (MRP),2025-06-18,23.0,18.0,26.0,15.0,11.0,,https://yougov.co.uk/politics/articles/52437-first-yougov-mrp-since-2024-election-shows-a-hung-parliament-with-reform-uk-as-largest-party
YouGov,2025-06-23,23.0,17.0,27.0,16.0,10.0,,https://d3nkl3psvxxpe9.cloudfront.net/documents/VotingIntention_MRP_250623_w.pdf
More in Common,2025-06-23,23.0,20.0,27.0,14.0,9.0,-31,https://www.moreincommon.org.uk/media/reqkhhly/voting-intention-23-june.xlsx
Find Out Now,2025-06-25,22.0,18.0,30.0,13.0,11.0,,https://cms.findoutnow.co.uk/app/uploads/2025/06/25th-June-VI-Find-Out-Now.xlsx
BMG Research,2025-06-25,27.0,19.0,30.0,12.0,7.0,-29,https://bmgresearch.com/wp-content/uploads/2025/07/june-2025-omnibus-tables-for-the-i.xlsx
Techne,2025-06-26,23.0,18.0,28.0,16.0,8.0,,https://www.techneuk.com/wp-content/uploads/2025/06/R156-UK-2025-6-27-DATA.pdf
Survation,2025-06-27,26.0,19.0,27.0,12.0,8.0,-15,https://www.survation.com/labour-struggle-one-year-on-while-reform-maintain-their-lead-in-survation-polling/
Opinium,2025-06-27,25.0,17.0,30.0,12.0,9.0,-35,https://www.opinium.com/wp-content/uploads/2025/06/VI-2025-06-25-Observer-Tables-1888.xlsx
YouGov,2025-06-30,24.0,17.0,26.0,16.0,10.0,,https://d3nkl3psvxxpe9.cloudfront.net/documents/VotingIntention_MRP_Results_250630_w.pdf
More in Common,2025-06-30,24.0,19.0,29.0,12.0,9.0,-40,https://www.moreincommon.org.uk/media/qunkzmvu/voting-intention-30-june.xlsx
Lord Ashcroft Polls,2025-06-30,23.0,20.0,27.0,11.0,13.0,,https://lordashcroftpolls.com/wp-content/uploads/2025/07/Lord-Ashcroft-Polls-June-2025-poll-Full-tables.xls
More in Common (MRP),2025-06-30,22.0,21.0,28.0,15.0,8.0,,https://www.moreincommon.org.uk/latest-insights/more-in-common-s-july-mrp/
Find Out Now,2025-07-02,22.0,16.0,30.0,15.0,11.0,-56,https://cms.findoutnow.co.uk/app/uploads/2025/07/2nd-July-VI-Find-Out-Now.xlsx
More in Common,2025-07-03,,,,,,-43,https://www.moreincommon.org.uk/media/bbzfx0n1/micst-snap-poll.xlsx
Freshwater Strategy,2025-07-06,23.0,19.0,31.0,16.0,6.0,-38,https://freshwaterstrategy.com/wp-content/uploads/Data-Tables-City-AM-Freshwater-Strategy-UK-Polling-070725.xlsx
YouGov,2025-07-07,24.0,16.0,26.0,15.0,11.0,-50,https://d3nkl3psvxxpe9.cloudfront.net/documents/VotingIntention_MRP_Results_250707.pdf
More in Common,2025-07-07,24.0,19.0,29.0,14.0,7.0,-36,https://www.moreincommon.org.uk/media/dpwd0d5d/voting-intention-7july.xlsx
More in Common,2025-07-07,25.0,20.0,28.0,14.0,7.0,-36,https://www.moreincommon.org.uk/media/bfelndry/sultana-corbyn-voting-intention.xlsx
Find Out Now,2025-07-09,22.0,19.0,31.0,13.0,9.0,,https://cms.findoutnow.co.uk/app/uploads/2025/07/9th-July-Find-Out-Now-VI.xlsx
Find Out Now,2025-07-10,21.0,16.0,34.0,11.0,11.0,,https://cms.findoutnow.co.uk/app/uploads/2025/07/FON_MultiCommsLTD_14781_DataTables.xlsx
Techne,2025-07-10,22.0,18.0,29.0,16.0,9.0,,https://www.techneuk.com/wp-content/uploads/2025/07/R157-UK-2025-7-11-DATA.pdf
Opinium,2025-07-11,24.0,18.0,29.0,13.0,9.0,-42,https://www.opinium.com/wp-content/uploads/2025/07/VI-2025-07-09-Observer-Tables-1275.xlsx
YouGov,2025-07-14,22.0,17.0,28.0,16.0,12.0,-44,https://d3nkl3psvxxpe9.cloudfront.net/documents/VotingIntention_MRP_250714_w.pdf
More in Common,2025-07-14,24.0,20.0,27.0,13.0,9.0,-39,https://www.moreincommon.org.uk/media/xdeas02a/voting-intention-july-15.xlsx
Ipsos,2025-07-14,,,,,,-34,https://www.ipsos.com/en-uk/half-britons-say-keir-starmer-has-changed-britain-worse
Find Out Now,2025-07-16,20.0,17.0,30.0,13.0,12.0,,https://cms.findoutnow.co.uk/app/uploads/2025/07/16th-July-VI-Find-Out-Now.xlsx
YouGov,2025-07-16,,,,,,-44,https://d3nkl3psvxxpe9.cloudfront.net/documents/Topline_Eurotrack_Jul25_w.pdf
JL Partners,2025-07-18,23.0,17.0,29.0,14.0,9.0,,https://jlpartners.co.uk/s/Islamophobia-Definition-Polling-Data-Tables-Final-for-Telegraph.xlsx
Focaldata,2025-07-18,23.0,19.0,27.0,14.0,9.0,,https://docs.google.com/spreadsheets/d/1tGMcxq3ate-RYcPYalkMh3ilXI8dprZs1LJInmjmPf8/edit?gid=2111754518#gid=2111754518
More in Common,2025-07-20,22.0,21.0,29.0,15.0,8.0,,https://www.moreincommon.org.uk/media/zcei2auh/voting-intention-july-22.xlsx
YouGov,2025-07-21,23.0,17.0,27.0,15.0,11.0,,https://d3nkl3psvxxpe9.cloudfront.net/documents/VotingIntention_MRP_250721_w.pdf
Find Out Now,2025-07-23,20.0,16.0,34.0,14.0,10.0,,https://cms.findoutnow.co.uk/app/uploads/2025/07/23rd-July-VI-Find-Out-Now.xlsx
Opinium,2025-07-25,25.0,17.0,32.0,13.0,8.0,-35,https://www.opinium.com/resource-center/opinium-voting-intention-23rd-july-2025/
YouGov,2025-07-28,22.0,17.0,29.0,14.0,11.0,,https://d3nkl3psvxxpe9.cloudfront.net/documents/VotingIntention_MRP_250728_w.pdf
More in Common,2025-07-28,23.0,20.0,29.0,13.0,7.0,-41,https://www.moreincommon.org.uk/media/lf5nib1p/voting-intention-july-29.xlsx
Find Out Now,2025-07-30,20.0,17.0,30.0,13.0,9.0,,https://cms.findoutnow.co.uk/app/uploads/2025/07/30th-July-VI-Find-Out-Now.xlsx
BMG Research,2025-07-31,23.0,18.0,32.0,13.0,8.0,-36,https://bmgresearch.com/wp-content/uploads/2025/08/july-2025-omnibus-tables-for-the-i-1.xlsx
More in Common,2025-08-03,22.0,18.0,31.0,14.0,7.0,-43,https://www.moreincommon.org.uk/media/rdbj201m/voting-intention-3-august.xlsx
Freshwater Strategy,2025-08-03,22.0,18.0,33.0,14.0,6.0,-37,https://freshwaterstrategy.com/wp-content/uploads/Data-Tables-City-AM-Freshwater-Strategy-UK-Polling-030825.xlsx
Stack Data Strategy (MRP),2025-08-03,25.0,16.0,31.0,12.0,9.0,,https://docs.google.com/spreadsheets/d/1syxMNZTgHC5DWoZdbfZcL1MOBBUNilmM/edit
Find Out Now,2025-08-03,,,,,,-55,https://cms.findoutnow.co.uk/app/uploads/2025/09/Aug-well-or-badly.pdf
YouGov,2025-08-04,21.0,17.0,27.0,15.0,11.0,,https://d3nkl3psvxxpe9.cloudfront.net/documents/VotingIntention_MRP_250804_w.pdf
Find Out Now,2025-08-06,20.0,16.0,32.0,12.0,9.0,,https://cms.findoutnow.co.uk/app/uploads/2025/08/6th-August-Find-Out-Now-VI.xlsx
Opinium,2025-08-08,22.0,17.0,31.0,13.0,9.0,-41,https://www.opinium.com/resource-center/opinium-voting-intention-6th-august-2025/
YouGov,2025-08-11,21.0,17.0,28.0,16.0,10.0,-49,https://d3nkl3psvxxpe9.cloudfront.net/documents/VotingIntention_MRP_Results_250811_w.pdf
More in Common,2025-08-11,22.0,22.0,30.0,13.0,6.0,-39,https://www.moreincommon.org.uk/media/dj2hqsqe/voting-intention-august-13.xlsx
Find Out Now,2025-08-14,19.0,19.0,31.0,12.0,10.0,,https://cms.findoutnow.co.uk/app/uploads/2025/08/13th_14th-August-Find-Out-Now-VI.xlsx
YouGov,2025-08-15,,,,,,-44,https://yougov.co.uk/politics/articles/52795-political-favourability-ratings-august-2025
YouGov,2025-08-18,21.0,18.0,28.0,15.0,10.0,,https://d3nkl3psvxxpe9.cloudfront.net/documents/VotingIntention_MRP_Results_250818_w.pdf
More in Common,2025-08-18,21.0,20.0,30.0,13.0,8.0,-41,https://www.moreincommon.org.uk/media/twbnfjxn/voting-intention-18-august.xlsx
Lord Ashcroft Polls,2025-08-18,23.0,20.0,27.0,10.0,11.0,,https://lordashcroftpolls.com/wp-content/uploads/2025/08/Lord-Ashcroft-Aug-2025-poll-Full-tables.xls
Ipsos,2025-08-18,,,,,,-32,https://www.ipsos.com/en-uk/britons-most-confident-reform-uk-has-good-plan-change-britian-over-half-not-confident-any-party
Focaldata,2025-08-19,24.0,18.0,29.0,14.0,8.0,-34,https://docs.google.com/spreadsheets/d/1-3zV9KCv4SHf0QxCUHnPnJMcyi9ungXfhpO51U-JwSA/edit?usp=sharing
Find Out Now,2025-08-20,18.0,17.0,33.0,12.0,10.0,,https://cms.findoutnow.co.uk/app/uploads/2025/08/20th-August-VI-Find-Out-Now.xlsx
Opinium,2025-08-22,23.0,17.0,29.0,14.0,9.0,-41,https://www.opinium.com/wp-content/uploads/2025/08/VI-2025-08-20-Data-Tables-1256.xlsx
YouGov,2025-08-26,20.0,17.0,28.0,16.0,11.0,-47,https://d3nkl3psvxxpe9.cloudfront.net/documents/VotingIntention_MRP_Results_250826_w.pdf
More in Common,2025-08-26,22.0,18.0,30.0,14.0,7.0,-42,https://www.moreincommon.org.uk/media/zaclm5uq/voting-intention-22-26.xlsx
Find Out Now,2025-08-27,18.0,15.0,34.0,13.0,10.0,,https://cms.findoutnow.co.uk/app/uploads/2025/08/27th-August-VI-Find-Out-Now.xlsx
BMG Research,2025-08-28,20.0,17.0,35.0,13.0,7.0,-41,https://bmgresearch.com/news/with-a-record-35-vote-share-reform-are-upending-british-politics/
Freshwater Strategy,2025-08-31,20.0,17.0,33.0,15.0,7.0,-41,https://freshwaterstrategy.com/wp-content/uploads/Data-Tables-City-AM-Freshwater-Strategy-UK-Polling-310825.xlsx
JL Partners,2025-08-31,22.0,18.0,32.0,12.0,7.0,,https://static1.squarespace.com/static/5db0ca668552dd5ab1168a91/t/68bae1aae1c3cc0da99a6d43/1757077930452/Voting+Intention+-+Tables.xlsx
YouGov,2025-09-01,20.0,17.0,29.0,15.0,10.0,,https://d3nkl3psvxxpe9.cloudfront.net/documents/VotingIntention_MRP_Results_250901_w.pdf
More in Common,2025-09-01,21.0,18.0,31.0,13.0,8.0,-43,https://www.moreincommon.org.uk/media/f2nmtaqn/voting-intention-september-1.xlsx
Survation (MRP),2025-09-01,25.0,19.0,29.0,12.0,7.0,,https://cdn.survation.com/wp-content/uploads/2025/10/14101152/38D_Segmentation_Tables_V1.xlsx
Survation,2025-09-02,24.0,19.0,30.0,11.0,8.0,,https://cdn.survation.com/wp-content/uploads/2025/09/05133804/SurvationVIWeightedTablesSeptember2025.xlsx
Find Out Now,2025-09-03,19.0,17.0,32.0,13.0,11.0,,https://cms.findoutnow.co.uk/app/uploads/2025/09/3rd-September-VI-Find-Out-Now.xlsx
Techne,2025-09-04,21.0,18.0,31.0,14.0,10.0,,https://www.techneuk.com/wp-content/uploads/2025/09/R158-UK-2025-9-4-DATA.pdf
Opinium,2025-09-05,23.0,18.0,30.0,12.0,10.0,-40,https://www.opinium.com/wp-content/uploads/2025/09/VI-2025-09-03-Observer-Tables.xlsx
Find Out Now,2025-09-06,,,,,,-57,https://cms.findoutnow.co.uk/app/uploads/2025/09/Sept-well-or-badly.pdf
YouGov,2025-09-08,22.0,17.0,27.0,15.0,12.0,-55,https://d3nkl3psvxxpe9.cloudfront.net/documents/VotingIntention_MRP_Results_250908_w.pdf
More in Common,2025-09-08,21.0,18.0,32.0,13.0,8.0,-44,https://www.moreincommon.org.uk/media/crrfrbnq/voting-intention-8-sept.xlsx
Ipsos,2025-09-09,,,,,,-33,https://www.ipsos.com/en-uk/first-time-britons-split-whether-keir-starmer-or-nigel-farage-would-make-better-prime-minister
Find Out Now,2025-09-10,19.0,15.0,34.0,12.0,12.0,,https://cms.findoutnow.co.uk/app/uploads/2025/09/10th-September-VI-Find-Out-Now.xlsx
Focaldata,2025-09-11,23.0,18.0,29.0,12.0,9.0,,https://www.gigapoll.co.uk/
YouGov,2025-09-11,,,,,,-50,https://ygo-assets-websites-editorial-emea.yougov.net/documents/Copy_of_Internal_Favourability_250911.pdf
YouGov,2025-09-15,20.0,17.0,29.0,15.0,10.0,,https://d3nkl3psvxxpe9.cloudfront.net/documents/VotingIntention_MRP_Results_250915_w.pdf
More in Common,2025-09-15,22.0,18.0,31.0,14.0,8.0,-46,https://www.moreincommon.org.uk/media/4u5bnpeq/voting-intention-september-15.xlsx
Lord Ashcroft Polls,2025-09-15,22.0,20.0,27.0,10.0,13.0,,https://lordashcroftpolls.com/2025/09/when-times-are-hard-voters-crave-pms-who-can-get-a-grip-and-that-not-the-scandals-is-why-theyre-so-sick-of-starmer/
More in Common (MRP),2025-09-15,21.0,19.0,31.0,15.0,8.0,,https://www.moreincommon.org.uk/latest-insights/more-in-common-s-september-mrp/
Opinium,2025-09-15,,,,,,-46,https://www.opinium.com/resource-center/a-fatally-wounded-premiership/
Ipsos,2025-09-17,22.0,14.0,34.0,12.0,12.0,-66,https://www.ipsos.com/sites/default/files/ct/news/documents/2025-09/politmkp_w5sep2025web2%20V2.pdf
YouGov,2025-09-17,,,,,,-55,https://d3nkl3psvxxpe9.cloudfront.net/documents/Topline_Eurotrack_Sep25_w.pdf
Techne,2025-09-18,20.0,19.0,30.0,15.0,9.0,,https://www.techneuk.com/wp-content/uploads/2025/09/R159-UK-2025-9-18-DATA.pdf
Find Out Now,2025-09-18,16.0,16.0,34.0,13.0,12.0,,https://cms.findoutnow.co.uk/app/uploads/2025/09/17th-September-VI-Find-Out-Now.xlsx
Opinium,2025-09-19,22.0,17.0,31.0,12.0,10.0,-42,https://www.opinium.com/wp-content/uploads/2025/09/VI-2025-09-17-Observer-tables-1345.xlsx
YouGov,2025-09-22,21.0,16.0,29.0,14.0,12.0,,https://d3nkl3psvxxpe9.cloudfront.net/documents/VotingIntention_MRP_Results_250922_w.pdf
More in Common,2025-09-22,25.0,20.0,28.0,13.0,8.0,-39,https://www.moreincommon.org.uk/media/iz2bdbkc/voting-intention-september-22.xlsx
Savanta,2025-09-22,,,,,,-45,https://savanta.com/knowledge-centre/press-and-polls/labour-conference-poll-politicshome-25-september-2025/
Find Out Now,2025-09-24,17.0,14.0,33.0,16.0,12.0,,https://cms.findoutnow.co.uk/app/uploads/2025/09/24th-September-VI-Find-Out-Now.xlsx
YouGov (MRP),2025-09-24,21.0,17.0,27.0,15.0,11.0,,https://yougov.co.uk/politics/articles/53059-yougov-mrp-shows-a-reform-uk-government-a-near-certainty-if-an-election-were-held-tomorrow
Survation,2025-09-25,22.0,17.0,34.0,11.0,8.0,-24,https://cdn.survation.com/wp-content/uploads/2025/09/30013256/Daily_Mail_Tables.xlsx
Opinium,2025-09-26,22.0,17.0,32.0,14.0,7.0,-41,https://www.opinium.com/wp-content/uploads/2025/09/VI-2025-09-24-Observer-Data-Tables-0944.xlsx
YouGov,2025-09-29,22.0,16.0,29.0,15.0,11.0,-47,https://d3nkl3psvxxpe9.cloudfront.net/documents/VotingIntention_MRP_Results_250929_w.pdf
More in Common,2025-09-29,20.0,20.0,30.0,14.0,8.0,-47,https://www.moreincommon.org.uk/media/x1mpqajl/voting-intention-september-29.xlsx
Find Out Now,2025-10-01,19.0,14.0,35.0,12.0,11.0,,https://findoutnow.co.uk/blog/voting-intention-1st-october-2025/
Focaldata,2025-10-01,21.0,20.0,29.0,14.0,10.0,-40,https://3959436.fs1.hubspotusercontent-na1.net/hubfs/3959436/Marketing%20content/Focaldata_Westminster%20voting%20intention%20tables%2c%2019%20Sep%20-%201%20Oct%202025.xlsx
Opinium,2025-10-03,21.0,16.0,34.0,12.0,10.0,-44,https://www.opinium.com/wp-content/uploads/2025/10/VI-2025-10-01-Observer-Tables.xlsx
JL Partners,2025-10-03,21.0,19.0,31.0,13.0,8.0,,https://static1.squarespace.com/static/5db0ca668552dd5ab1168a91/t/68e3e4da5c5a8c226b5d4e84/1759765722997/Voting+Intention+Tables.xlsx
Find Out Now,2025-10-03,,,,,,-58,https://findoutnow.co.uk/blog/leadership-polling-november-2025/
Freshwater Strategy,2025-10-05,20.0,18.0,35.0,14.0,8.0,-41,https://freshwaterstrategy.com/wp-content/uploads/Data-Tables-City-AM-Freshwater-Strategy-UK-Polling-051025.xlsx
YouGov,2025-10-06,20.0,17.0,27.0,17.0,12.0,-54,https://d3nkl3psvxxpe9.cloudfront.net/documents/VotingIntention_MRP_Results_251006_w.pdf
More in Common,2025-10-06,20.0,19.0,33.0,14.0,8.0,-49,https://www.moreincommon.org.uk/media/e4xdsdar/voting-intention-october-6.xlsx
Find Out Now,2025-10-08,17.0,17.0,32.0,12.0,15.0,,https://cms.findoutnow.co.uk/app/uploads/2025/10/8th-October-VI-Find-Out-Now.xlsx
Opinium,2025-10-10,22.0,18.0,32.0,11.0,10.0,-42,https://www.opinium.com/wp-content/uploads/2025/10/VI-2025-10-08-Data-Tables-1820.xlsx
YouGov,2025-10-13,20.0,17.0,27.0,16.0,13.0,-50,https://d3nkl3psvxxpe9.cloudfront.net/documents/VotingIntention_MRP_Results_251013_w.pdf
More in Common,2025-10-13,22.0,20.0,30.0,15.0,9.0,-44,https://www.moreincommon.org.uk/media/swuhlk0u/voting-intention-october-14.xlsx
Ipsos,2025-10-13,,,,,,-40,https://www.ipsos.com/en-uk/nigel-farage-leads-keir-starmer-head-head-who-britons-would-prefer-prime-minister
YouGov,2025-10-14,,,,,,-51,https://yougov.co.uk/politics/articles/53176-political-favourability-ratings-october-2025
Find Out Now,2025-10-15,15.0,17.0,32.0,12.0,15.0,,https://cms.findoutnow.co.uk/app/uploads/2025/10/15th-October-VI-Find-Out-Now.xlsx
YouGov,2025-10-16,,,,,,-52,https://d3nkl3psvxxpe9.cloudfront.net/documents/Topline_Eurotrack_Oct25_w.pdf
Focaldata,2025-10-17,21.0,19.0,30.0,13.0,9.0,-36,https://3959436.fs1.hubspotusercontent-na1.net/hubfs/3959436/Marketing%20content/Focaldata_Westminster%20voting%20intention%20tables%2c%208-17%20Oct%202025.xlsx
YouGov,2025-10-20,20.0,17.0,26.0,15.0,15.0,,https://d3nkl3psvxxpe9.cloudfront.net/documents/VotingIntention_MRP_Results_251020_w.pdf
More in Common,2025-10-20,22.0,19.0,31.0,13.0,10.0,-47,https://www.moreincommon.org.uk/media/ycfffdio/voting-intention-october-21.xlsx
Lord Ashcroft Polls,2025-10-20,19.0,19.0,28.0,10.0,17.0,,https://lordashcroftpolls.com/2025/10/id-card-scheme-is-a-classic-starmerite-intervention-its-expensive-intrusive-and-utterly-pointless/
Find Out Now,2025-10-22,16.0,17.0,32.0,12.0,15.0,,https://cms.findoutnow.co.uk/app/uploads/2025/10/22nd-October-VI-Find-Out-Now.xlsx
Techne,2025-10-23,19.0,18.0,29.0,16.0,12.0,,https://www.techneuk.com/wp-content/uploads/2025/10/R160-UK-2025-10-23-DATA.pdf
Opinium,2025-10-24,20.0,18.0,30.0,12.0,12.0,-44,https://www.opinium.com/wp-content/uploads/2025/10/VI-2025-10-22-Observer-Data-Tables-2133.xlsx
YouGov,2025-10-27,17.0,17.0,27.0,15.0,16.0,,https://d3nkl3psvxxpe9.cloudfront.net/documents/VotingIntention_MRP_Results_251027.pdf
More in Common,2025-10-27,21.0,18.0,33.0,12.0,11.0,-47,https://www.moreincommon.org.uk/media/udtjxxao/voting-intention-october-28.xlsx
Find Out Now,2025-10-29,16.0,16.0,32.0,12.0,17.0,,https://cms.findoutnow.co.uk/app/uploads/2025/10/29th-October-VI-Find-Out-Now.xlsx
JL Partners,2025-11-02,23.0,17.0,30.0,12.0,10.0,,https://static1.squarespace.com/static/5db0ca668552dd5ab1168a91/t/691318129aafd438f1f23600/1762859026141/Voting+Intention.xlsx
YouGov,2025-11-03,20.0,16.0,27.0,15.0,16.0,-56,https://d3nkl3psvxxpe9.cloudfront.net/documents/VotingIntention_MRP_Results_251103_w.pdf
More in Common,2025-11-03,18.0,19.0,31.0,13.0,12.0,-48,https://www.moreincommon.org.uk/media/wn2hcfmx/voting-intention-november-4.xlsx
Ipsos,2025-11-05,18.0,16.0,33.0,12.0,15.0,-66,https://www.ipsos.com/sites/default/files/ct/news/documents/2025-11/Ipsos_November%202025_Political%20Monitor_Data%20Tables_%20Public.pdf
Find Out Now,2025-11-06,15.0,16.0,33.0,11.0,18.0,,https://cms.findoutnow.co.uk/app/uploads/2025/11/5th-November-VI-Find-Out-Now-1.xlsx
Opinium,2025-11-07,20.0,17.0,33.0,12.0,11.0,-45,https://www.opinium.com/wp-content/uploads/2025/11/VI-2025-11-05-Observer-Data-Tables-1803.xlsx
Find Out Now,2025-11-07,,,,,,-62,https://findoutnow.co.uk/blog/leadership-polling-november-2025/
Freshwater Strategy,2025-11-09,17.0,19.0,32.0,13.0,13.0,-45,https://freshwaterstrategy.com/wp-content/uploads/Data-Tables-City-AM-Freshwater-Strategy-UK-Polling-091125.xlsx
YouGov,2025-11-10,19.0,18.0,26.0,14.0,15.0,,https://d3nkl3psvxxpe9.cloudfront.net/documents/VotingIntention_MRP_Results_251110_w.pdf
More in Common,2025-11-10,20.0,19.0,31.0,14.0,12.0,-49,https://www.moreincommon.org.uk/media/5fghxd3o/voting-intention-10-november.xlsx
Ipsos,2025-11-10,,,,,,-42,https://www.ipsos.com/en-uk/half-britons-say-they-want-radical-change-reform-uk-seen-both-solution-and-risk
Find Out Now,2025-11-12,15.0,16.0,33.0,11.0,17.0,,https://cms.findoutnow.co.uk/app/uploads/2025/11/12th-November-VI-Find-Out-Now.xlsx
YouGov,2025-11-17,19.0,17.0,27.0,13.0,17.0,-54,https://d3nkl3psvxxpe9.cloudfront.net/documents/VotingIntention_MRP_Results_251117_w.pdf
More in Common,2025-11-17,20.0,20.0,30.0,14.0,11.0,-49,https://www.moreincommon.org.uk/media/0hnbr34x/voting-intention-14-17-november.xlsx
Lord Ashcroft Polls,2025-11-17,18.0,20.0,27.0,11.0,18.0,,https://lordashcroftpolls.com/2025/11/seize-the-day-kemi-as-two-thirds-of-voters-say-theyll-be-worse-off-after-the-chancellors-budget-grabs-this-is-a-huge-opportunity-for-badenoch-to-show-shes-a-credible-alternative/
YouGov,2025-11-18,,,,,,-55,https://d3nkl3psvxxpe9.cloudfront.net/documents/Topline_Eurotrack_Nov25_w.pdf
Find Out Now,2025-11-19,16.0,17.0,32.0,11.0,18.0,,https://cms.findoutnow.co.uk/app/uploads/2025/11/19th-November-VI-Find-Out-Now.xlsx
Opinium,2025-11-19,,,,,,-45,https://www.opinium.com/resource-center/voting-intention-19th-november-2025/
Survation,2025-11-20,22.0,18.0,29.0,12.0,11.0,-24,https://cdn.survation.com/wp-content/uploads/2025/11/28150243/Survation_VI_2025-11-20_Tables.xlsx
Opinium,2025-11-21,19.0,17.0,32.0,13.0,12.0,,https://www.opinium.com/wp-content/uploads/2025/11/Observer-VI-2025-11-19-Data-tables-1205.xlsx
Focaldata,2025-11-21,20.0,20.0,28.0,13.0,10.0,-47,https://3959436.fs1.hubspotusercontent-na1.net/hubfs/3959436/Marketing%20content/Focaldata_Pre-budget%20tables%2c%2018-21%20Nov%202025.xlsx
YouGov,2025-11-24,19.0,18.0,25.0,15.0,16.0,,https://d3nkl3psvxxpe9.cloudfront.net/documents/VotingIntention_MRP_Results_251124_w.pdf
More in Common,2025-11-24,21.0,19.0,30.0,14.0,10.0,-51,https://www.moreincommon.org.uk/media/xzxfkzj0/voting-intention-24-november.xlsx
Find Out Now,2025-11-26,15.0,18.0,31.0,12.0,17.0,,https://cms.findoutnow.co.uk/app/uploads/2025/11/26th-November-VI-Find-Out-Now.xlsx
BMG Research,2025-11-27,22.0,20.0,30.0,12.0,12.0,-45,https://bmgresearch.com/wp-content/uploads/2025/12/november-2025-omnibus-tables-for-the-i-1.xlsx
Focaldata,2025-11-28,20.0,18.0,29.0,13.0,12.0,-45,https://hs-3959436.f.hubspotemail.net/hubfs/3959436/Marketing%20content/Focaldata_Post-Budget%20tables%2c%2026-28%20Nov%202025.xlsx
Opinium,2025-11-28,21.0,17.0,31.0,11.0,13.0,-44,https://www.opinium.com/wp-content/uploads/2025/11/VI-2025-11-26-Observer-data-tables-1441.xlsx
Freshwater Strategy,2025-11-30,19.0,20.0,31.0,15.0,12.0,-48,https://freshwaterstrategy.com/wp-content/uploads/Data-Tables-City-AM-Freshwater-Strategy-UK-Polling-301125.xlsx
YouGov,2025-12-01,19.0,19.0,26.0,14.0,16.0,-61,https://d3nkl3psvxxpe9.cloudfront.net/documents/VotingIntention_MRP_Results_251201_w.pdf
JL Partners,2025-12-01,22.0,20.0,29.0,11.0,10.0,,https://jlpartners.co.uk/s/Voting-Intention-December.xlsx
More in Common,2025-12-01,21.0,21.0,30.0,13.0,11.0,-48,https://www.moreincommon.org.uk/media/m3yix5mt/voting-intention-december-3.xlsx
Ipsos,2025-12-02,,,,,,-44,https://www.ipsos.com/en-uk/andy-burnham-preferred-keir-starmer-pm-narrowly-leads-nigel-farage
Find Out Now,2025-12-03,14.0,20.0,31.0,11.0,18.0,,https://cms.findoutnow.co.uk/app/uploads/2025/12/3rd-December-VI-Find-Out-Now.xlsx
YouGov,2025-12-08,19.0,18.0,27.0,14.0,15.0,,https://d3nkl3psvxxpe9.cloudfront.net/documents/VotingIntention_MRP_Results_251208_w.pdf
More in Common,2025-12-08,20.0,21.0,30.0,14.0,10.0,-48,https://www.moreincommon.org.uk/media/b1fa5gaa/voting-intention-december-17.xlsx
Find Out Now/ Electoral Calculus (MRP),2025-12-08,17.0,21.0,31.0,11.0,12.0,,https://www.electoralcalculus.co.uk/blogs/ec_vipoll_20260113.html
Find Out Now,2025-12-10,14.0,18.0,30.0,12.0,18.0,,https://cms.findoutnow.co.uk/app/uploads/2025/12/10th-December-VI-Find-Out-Now.xlsx
Opinium,2025-12-12,20.0,18.0,31.0,13.0,12.0,-43,https://www.opinium.com/wp-content/uploads/2025/12/VI-2025-12-10-Data-tables-1531.xlsx
YouGov,2025-12-12,,,,,,-59,https://d3nkl3psvxxpe9.cloudfront.net/documents/Topline_Eurotrack_Dec25_w.pdf
YouGov,2025-12-15,18.0,17.0,28.0,14.0,17.0,-54,https://d3nkl3psvxxpe9.cloudfront.net/documents/VotingIntention_MRP_Results_251215_w.pdf
Verian,2025-12-15,18.0,21.0,27.0,15.0,13.0,,https://www.veriangroup.com/hubfs/UK/polling/method-and-tables/Method%20and%20tables%20-%20December%2025.pdf
Lord Ashcroft Polls,2025-12-15,18.0,22.0,25.0,10.0,19.0,,https://lordashcroftpolls.com/2025/12/daft-questions-yes-but-the-answers-speak-volumes-about-the-state-of-our-government/
More in Common,2025-12-16,21.0,20.0,29.0,12.0,11.0,-48,https://www.moreincommon.org.uk/media/qafbolok/voting-intention-december2.xlsx
More in Common (MRP),2025-12-16,20.0,21.0,31.0,11.0,12.0,,https://www.moreincommon.org.uk/latest-insights/more-in-common-s-january-mrp/
Find Out Now,2025-12-17,14.0,18.0,33.0,11.0,17.0,,https://cms.findoutnow.co.uk/app/uploads/2025/12/17th-December-VI-Find-Out-Now.xlsx
Deltapoll,2025-12-18,20.0,19.0,30.0,14.0,10.0,-46,https://deltapoll.co.uk/wp-content/uploads/2026/01/260105_Deltapoll-Mirror-pdf.pdf
YouGov,2025-12-22,20.0,19.0,25.0,15.0,15.0,,https://d3nkl3psvxxpe9.cloudfront.net/documents/VotingIntention_MRP_Results_251222_w.pdf
More in Common,2025-12-23,21.0,22.0,28.0,13.0,9.0,-45,https://www.moreincommon.org.uk/media/adwnbahz/voting-intention-december-24.xlsx
